Citation,Authors,Year,Title,Journal/Book/ Publisher,Volume,Pages,Language,Multiple studies,Country,State/Province,Name of site/area,Research project,Lat.,Long.,Plotted lat.,Plotted long.,Altitude (m),Forest type,Dominant tree species,Stand age (years),Measure of age,Stand origin,Type of comparison,No. of true replicates,Intervention category,Intervention (specification),Outcome categories,Focal species,Focal communities,Focal biodiversity indicators,Remarks,Google Scholar search
Allcock and Hik (2003),K. G. Allcock and D. S. Hik,2003,"What determines disturbance-productivity-diversity relationships? The effect of scale, species and environment on richness patterns in an Australian woodland",Oikos,102,173-185,English,,Australia,New South Wales,Burrendong Dam,,32.67 S,149.10 E,-32.67,149.1,,Broadleaf (open woodland),Eucalyptus albens,,,,CI,4,GRAZ,"Exclusion of cattle, sheep, kangaroos and rabbits","VascAbunt, VascRich, InvasRich",,Vascular plants,,,"http://scholar.google.co.uk/scholar?q=What+determines+disturbance-productivity-diversity+relationships?+The+effect+of+scale,+species+and+environment+on+richness+patterns+in+an+Australian+woodland&btnG=&hl=en&as_sdt=0%2C5"
Pike et al. (2011),"D. A. Pike, J. K. Webb and R. Shine",2011,Removing forest canopy cover restores a reptile assemblage,Ecological Applications,21,274-280,English,,Australia,New South Wales,Monkey Gum plateau,,35 S,150 E,-35,150,,Broadleaf,Eucalyptus spp.,,,,CI,25,PART,Selective removal of trees shading overgrown rock outcrops,"TreeAbunt, ReptAbuns, ReptRich",,Reptiles,,,http://scholar.google.co.uk/scholar?q=Removing+forest+canopy+cover+restores+a+reptile+assemblage&btnG=&hl=en&as_sdt=0%2C5
Briggs et al. (2008),"S. V. Briggs, N. M. Taws, J. A. Seddon and B. Vanzella",2008,Condition of fenced and unfenced remnant vegetation in inland catchments in south-eastern Australia,Australian Journal of Botany,56,590-599,English,,Australia,New South Wales,Murrumbidgee and Lachlan River catchments,,35 S,148 E,-35,148,,Broadleaf (dry sclerophyll forest; plains woodland; grassy woodland; hill woodland),"Eucalyptus macrorhynca; Eucalyptus microcarpa, Callitris glaucophylla; Eucalyptus melliodora, Eucalyptus blakelyi, Eucalyptus albens; Eucalyptus dealbata, Eucalyptus dwyeri, Callitris glaucophylla, Eucalyptus macrorhynca, Eucalyptus albens",,,,CI,59 (4-21 in each of 4 stand types),GRAZ,Livestock grazing,"TreeAbunt, TreePerf, MicroCav, VascAbunt, VascRich, BryoAbunt, LichAbunt, DeadAbunt, InvasAbunt",,Native and nonnative vegetation,,Partly outside relevant vegetation zones,http://scholar.google.co.uk/scholar?q=Condition+of+fenced+and+unfenced+remnant+vegetation+in+inland+catchments+in+south-eastern+Australia&btnG=&hl=en&as_sdt=0%2C5
Schultz et al. (2014),"N. L. Schultz, N. Reid, G. Lodge and J. T. Hunter",2014,Broad-scale patterns in plant diversity vary between land uses in a variegated temperate Australian agricultural landscape,Austral Ecology,39,855-863,English,,Australia,New South Wales,Werona farm,,31.0 S,150.7 E,-31,150.7,380-610,Woodland,,,,,CI,Not clear,GRAZ,Livestock grazing,"VascComp, VascRich, InvasRich",,"Vascular plants, native and nonnative",,,http://scholar.google.co.uk/scholar?q=Broad-scale+patterns+in+plant+diversity+vary+between+land+uses+in+a+variegated+temperate+Australian+agricultural+landscape&btnG=&hl=en&as_sdt=0%2C5
Prober et al. (2007),"S. M. Prober, K. R. Thiele and I. D. Lunt",2007,"Fire frequency regulates tussock grass composition, structure and resilience in endangered temperate woodlands",Austral Ecology,32,808-824,English,,Australia,New South Wales,Woodstock,,33.77 S,148.85 E,-33.77,148.85,,Broadleaf (grassy woodland),"Eucalyptus albens, Eucalyptus melliodora",Mature,,,BACI,4,"BURN, GRAZ","Prescribed burning (3 frequencies); exclusion of kangaroos, rabbits and hares","VascAbuns, VascAbunt, VascPerf","Poa sieberiana, Themeda australis (tussock grasses)",,,Study also reports on a largely treeless site (Monteagle),"http://scholar.google.co.uk/scholar?q=Fire+frequency+regulates+tussock+grass+composition,+structure+and+resilience+in+endangered+temperate+woodlands&btnG=&hl=en&as_sdt=0%2C5"
Prober et al. (2013),"S. M. Prober, K. R. Thiele and J. Speijers",2013,Management legacies shape decadal-scale responses of plant diversity to experimental disturbance regimes in fragmented grassy woodlands,Journal of Applied Ecology,50,376-386,English,,Australia,New South Wales,Woodstock,,33.77 S,148.85 E,-33.77,148.85,,Broadleaf (grassy woodland),"Eucalyptus albens, Eucalyptus melliodora",Mature,,,BACI,4,"BURN, GRAZ","Prescribed burning (3 frequencies); exclusion of kangaroos, rabbits and hares","VascRich, VascAbunt, VascComp",,Vascular plants,,Study also reports on a largely treeless site (Monteagle),http://scholar.google.co.uk/scholar?q=Management+legacies+shape+decadal-scale+responses+of+plant+diversity+to+experimental+disturbance+regimes+in+fragmented+grassy+woodlands&btnG=&hl=en&as_sdt=0%2C5
Penman et al. (2008),"T. D. Penman, D. L. Binns, R. J. Shiels, R. M. Allen and R. P. Kavanagh",2008,Changes in understorey plant species richness following logging and prescribed burning in shrubby dry sclerophyll forests of south-eastern Australia,Austral Ecology,33,197-210,English,,Australia,New South Wales,Yambulla State Forest (Eden Burning Study Area),,37.23 S,149.63 E,-37.23,149.63,,Broadleaf (Timbillica dry shrub forest),"Eucalyptus sieberi, Eucalyptus consideniana, Eucalyptus agglomerata, Eucalyptus muelleriana",13-29 (S),O,Regenerated after wildfire in 1973,BACI,3,"BURN, PART",Prescribed burning (2 frequencies); partial harvesting,VascRich,,Ground vegetation,,,http://scholar.google.co.uk/scholar?q=Changes+in+understorey+plant+species+richness+following+logging+and+prescribed+burning+in+shrubby+dry+sclerophyll+forests+of+south-eastern+Australia&btnG=&hl=en&as_sdt=0%2C5
Grove and Forster (2011),S. J. Grove and L. Forster,2011,"A decade of change in the saproxylic beetle fauna of eucalypt logs in the Warra long-term log-decay experiment, Tasmania. 2. Log-size effects, succession, and the functional significance of rare species",Biodiversity and Conservation,20,2167-2188,English,,Australia,Tasmania,Warra Long-Term Ecological Research site,Long-Term Ecological Research (LTER),43.09 S,146.66 E,-43.09,146.66,250,Broadleaf,Eucalyptus obliqua,Mature,M,,CI,6,CREA,Creation of dead wood by logging,"BeetsAbuns, BeetsRich, BeetsComp, BeetsAbunt",,Saproxylic beetles,,Comparison of large and small Eucalyptus logs. Included based on extended inclusion criteria for deadwood studies. Published site latitude incorrect.,"http://scholar.google.co.uk/scholar?q=A+decade+of+change+in+the+saproxylic+beetle+fauna+of+eucalypt+logs+in+the+Warra+long-term+log-decay+experiment,+Tasmania&btnG=&hl=en&as_sdt=0%2C5"
Aponte et al. (2014),"C. Aponte, K. G. Tolhurst and L. T. Bennett",2014,Repeated prescribed fires decrease stocks and change attributes of coarse woody debris in a temperate eucalypt forest,Ecological Applications,24,976-989,English,,Australia,Victoria,Wombat State Forest,Fire Effects Study Areas,37.45 S,144.28 E,-37.45,144.28,,Broadleaf,"Eucalyptus obliqua, Eucalyptus radiata, Eucalyptus rubida",,,,CI,5,BURN,Prescribed burning (2 frequencies and in 2 different seasons),"DeadAbunt, DeadDv",,,Dead wood,,http://scholar.google.co.uk/scholar?q=Repeated+prescribed+fires+decrease+stocks+and+change+attributes+of+coarse+woody+debris+in+a+temperate+eucalypt+forest&btnG=&hl=en&as_sdt=0%2C5
Price et al. (2010),"J. N. Price, N. K. Wong and J. W. Morgan",2010,Recovery of understorey vegetation after release from a long history of sheep grazing in a herb-rich woodland,Austral Ecology,35,505-514,English,,Australia,Victoria,Woohlpooer State Forest,,37.33 S,142.15 E,-37.33,142.15,,Broadleaf (woodland),Eucalyptus camaldulensis,,,,CI,2,GRAZ,Continued vs. discontinued sheep grazing,"VascAbunt, VascRich, BryoAbunt, InvasRich",,Ground vegetation,,,http://scholar.google.co.uk/scholar?q=Recovery+of+understorey+vegetation+after+release+from+a+long+history+of+sheep+grazing+in+a+herb-rich+woodland&btnG=&hl=en&as_sdt=0%2C5
Jandl et al. (2002),"R. Jandl, F. Starlinger, M. Englisch, E. Herzberger and E. Johann",2002,Long-term effects of a forest amelioration experiment,Canadian Journal of Forest Research,32,120-128,English,,Austria,Carinthia,,,46.12 N,14.65 E,46.12,14.65,460,Coniferous,Pinus sylvestris,"60 (I), 86 (S)",,,CI,2,UPLANT,"Underplanting of nitrogen-fixing plants (in 2 blocks). (Thinning, spruce planting and exclusion of deer performed at all plots. Study also reports on fertilisation.)","VascComp, TreePerf",,Trees and other vascular plants,,"A third block was not underplanted, only fertilised",http://scholar.google.co.uk/scholar?q=Long-term+effects+of+a+forest+amelioration+experiment&btnG=&hl=en&as_sdt=0%2C5
Schlick-Steiner et al. (2005),"B. C. Schlick-Steiner, F. M. Steiner and H. M. Steiner",2005,Effect of extensification of coppice management on Central European ant assemblages (Hymenoptera: Formicidae),Entomologia Generalis,28,23-37,English,,Austria,,Donau-Auen National Park (Sophienau; Mühlschüttel),,48.1-48.2 N,16.5-16.7 E,48.15,16.6,150,Broadleaf (coppice),Alnus incana,,,Clearcut at 30-40 yr intervals,BACI,1,COPP,"Coppicing, maintained vs. less intensive","InsAbuns, InsAbunt, InsRich, InsDiv",,Ants,,,http://scholar.google.co.uk/scholar?q=Effect+of+extensification+of+coppice+management+on+Central+European+ant+assemblages+(Hymenoptera:+Formicidae)&btnG=&hl=en&as_sdt=0%2C5
du Bus de Warnaffe and Lebrun (2004),G. du Bus de Warnaffe and P. Lebrun,2004,Effects of forest management on carabid beetles in Belgium: Implications for biodiversity conservation,Biological Conservation,118,219-234,English,,Belgium,Ardennes,,,50 N,5 E,50,5,,Coniferous; mixed; broadleaf,"Picea abies, Pseudotsuga menziesii, Fagus sylvatica",Mature,,,CI,3-5 per stand type,PART,"Gap felling (< 0.2 ha and 0.2-0.5 ha gaps, described by authors as small clearcuts). (Study also reports on large-scale clearcutting.)",BeetgRich,,Carabids,,Comparisons between recent gaps and plots with medium-aged or mature forest in the same stands,http://scholar.google.co.uk/scholar?q=Effects+of+forest+management+on+carabid+beetles+in+Belgium:+Implications+for+biodiversity+conservation&btnG=&hl=en&as_sdt=0%2C5
Van Uytvanck and Hoffmann (2009),J. Van Uytvanck and M. Hoffmann,2009,Impact of grazing management with large herbivores on forest ground flora and bramble understorey,Acta Oecologica,35,523-532,English,,Belgium,Flanders,Bos t’ Ename; Hayesbos,,50.78-50.86 N,3.65-3.77 E,50.82,3.7,,Broadleaf,"Fagus sylvatica, Quercus robur, Populus x canadensis",,,,BACI,4,GRAZ,Grazing by cattle and horses,"VascAbuns, VascPerf","Rubus fruticosus group (bramble), Anemone nemorosa, Primula elatior, Vinca minor, Hedera helix, Hyacinthoides non-scripta (ground flora species)",,,Published site coordinates confuse minutes of arcs with decimals of degrees.,http://scholar.google.co.uk/scholar?q=Impact+of+grazing+management+with+large+herbivores+on+forest+ground+flora+and+bramble+understorey&btnG=&hl=en&as_sdt=0%2C5
Sachro et al. (2005),"L. L. Sachro, W. L. Strong and C. C. Gates",2005,"Prescribed burning effects on summer elk forage availability in the subalpine zone, Banff National Park, Canada",Journal of Environmental Management,77,183-193,English,,Canada,Alberta,Banff National Park (Eastern Slopes Ecological Management area),,51.6 N,115.8 W,51.6,-115.8,1650-2000,Coniferous,"Pinus contorta, Picea engelmannii, Abies lasiocarpa",,,,CI,5-27 in each of 6 stand types,BURN,Prescribed burning,"VascAbuns, VascAbunt, TreeAbuns, TreeAbunt, LichAbunt, BryoAbunt",,Vegetation,,,"http://scholar.google.co.uk/scholar?q=Prescribed+burning+effects+on+summer+elk+forage+availability+in+the+subalpine+zone,+Banff+National+Park,+Canada&btnG=&hl=en&as_sdt=0%2C5"
Norton and Hannon (1997),M. R. Norton and S. J. Hannon,1997,Songbird response to partial-cut logging in the boreal mixedwood forest of Alberta,Canadian Journal of Forest Research,27,44-53,English,,Canada,Alberta,Calling Lake,,55.25 N,113.58 W,55.25,-113.58,,Broadleaf,"Populus tremuloides, Populus balsamifera",> 130, ,Regenerated after fire,BACI,3,PART,"Group selection harvesting, 30 and 40% retention. (Study also reports on clearcutting.)","BirdAbunt, BirdRich, BirdAbuns",,Songbirds,,,http://scholar.google.co.uk/scholar?q=Songbird+response+to+partial-cut+logging+in+the+boreal+mixedwood+forest+of+Alberta&btnG=&hl=en&as_sdt=0%2C5
Bork et al. (1997),"E. W. Bork, R. J. Hudson and A. W. Bailey",1997,"Populus forest characterization in Elk Island National Park relative to herbivory, prescribed fire, and topography",Canadian Journal of Botany,75,1518-1526,English,,Canada,Alberta,Elk Island National Park,,53.6 N,112.9 W,53.6,-112.9,,Broadleaf,"Populus tremuloides, Populus balsamifera",,,,CI,1 (grazing); 3 (burning),"BURN, GRAZ","Prescribed burning; enclosures with higher-than-normal abundances of bison, elk, moose and deer","VertDiam, TreeAbunt, VascAbunt, VascRich, VascDiv, VascPerf",,Trees and other vascular plants,,,"http://scholar.google.co.uk/scholar?q=Populus+forest+characterization+in+Elk+Island+National+Park+relative+to+herbivory,+prescribed+fire,+and+topography&btnG=&hl=en&as_sdt=0%2C5"
Caners et al. (2010),"R. T. Caners, S. E. Macdonald and R. J. Belland",2010,Responses of boreal epiphytic bryophytes to different levels of partial canopy harvest,Botany,88,315-328,English,,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.77 N ,118.37 W,56.77,-118.37,677-880,Mixed,"Picea glauca, Populus tremuloides, Populus balsamifera",,,Regenerated after fire,CI,3,PART,"Single-tree selection harvesting with strip cutting in machine corridors, 50 and 75% retention. (Study also reports on low-retention harvesting.)","BryoComp, BryoAbunt, BryoRich, BryoPerf",,Aspen epiphytes,,,http://scholar.google.co.uk/scholar?q=Responses+of+boreal+epiphytic+bryophytes+to+different+levels+of+partial+canopy+harvest&btnG=&hl=en&as_sdt=0%2C5
Caners et al. (2013a),"R. T. Caners, S. E. Macdonald and R. J. Belland",2013,Bryophyte assemblage structure after partial harvesting in boreal mixedwood forest depends on residual canopy abundance and composition,Forest Ecology and Management,289,489-500,English,,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.77 N,118.37 W,56.77,-118.37,677-880,Coniferous; mixed,"Picea glauca, Populus tremuloides, Populus balsamifera",,,,CI,3 in each of 2 stand types,PART,"Single-tree selection harvesting with strip cutting in machine corridors, 50 and 75% retention. (Study also reports on low-retention harvesting.)","VertLayer, TreeAbunt, VascAbunt, DeadAbunt, DeadDv, BryoAbunt, BryoRich, BryoDiv, BryoComp",,Bryophytes,,,http://scholar.google.co.uk/scholar?q=Bryophyte+assemblage+structure+after+partial+harvesting+in+boreal+mixedwood+forest+depends+on+residual+canopy+abundance+and+composition&btnG=&hl=en&as_sdt=0%2C5
Caners et al. (2013b),"R. T. Caners, S. E. Macdonald and R. J. Belland",2013,Linking the biological traits of boreal bryophytes to forest habitat change after partial harvesting,Forest Ecology and Management,303,184-194,English,,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.77 N,118.37 W,56.77,-118.37,677-880,Coniferous; mixed,"Picea glauca, Populus tremuloides, Populus balsamifera",,,,CI,3 in each of 2 stand types,PART,"Single-tree selection harvesting with strip cutting in machine corridors, 50 and 75% retention. (Study also reports on low-retention harvesting.)","BryoComp, BryoPerf",Hylocomium splendens (moss),Bryophytes,,,http://scholar.google.co.uk/scholar?q=Linking+the+biological+traits+of+boreal+bryophytes+to+forest+habitat+change+after+partial+harvesting&btnG=&hl=en&as_sdt=0%2C5
Craig and Macdonald (2009),A. Craig and S. E. Macdonald,2009,Threshold effects of variable retention harvesting on understory plant communities in the boreal mixedwood forest,Forest Ecology and Management,258,2619-2627,English,,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.77 N,118.37 W,56.77,-118.37,,Mixed,"Populus tremuloides, Populus balsamifera, Picea glauca",90-120, ,Regenerated after fire,CI,3,PART,"Single-tree selection harvesting with strip cutting in machine corridors, 50 and 75% retention. (Study also reports on low-retention harvesting.)","TreeAbunt, VascAbunt, VascComp, VascRich",,Trees and other vascular plants,,,http://scholar.google.co.uk/scholar?q=Threshold+effects+of+variable+retention+harvesting+on+understory+plant+communities+in+the+boreal+mixedwood+forest&btnG=&hl=en&as_sdt=0%2C5
Harrison et al. (2005),"R. B. Harrison, F. K. A. Schmiegelow and R. Naidoo",2005,Stand-level response of breeding forest songbirds to multiple levels of partial-cut harvest in four boreal forest types,Canadian Journal of Forest Research,35,1553-1567,English,,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.73 N,118.33 W,56.77,-118.37,,Coniferous; mixed; broadleaf,"Picea glauca, Populus tremuloides, Populus balsamifera",Mature,,,BACI,3 in each of 4 stand types,PART,"Single-tree selection harvesting with strip cutting in machine corridors, 50 and 75% retention. (Study also reports on low-retention harvesting.)","BirdRich, BirdAbuns, BirdAbunt",,Songbirds,,,http://scholar.google.co.uk/scholar?q=Stand-level+response+of+breeding+forest+songbirds+to+multiple+levels+of+partial-cut+harvest+in+four+boreal+forest+types&btnG=&hl=en&as_sdt=0%2C5
Jacobs et al. (2007a),"J. M. Jacobs, J. R. Spence and D. W. Langor",2007,Variable retention harvest of white spruce stands and saproxylic beetle assemblages,Canadian Journal of Forest Research,37,1631-1642,English,,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.77 N,118.37 N,56.77,-118.37,677-880,Coniferous,Picea glauca,80-140, ,,CI,3,"CREA, PART","Girdling of trees; partial harvesting, 50 and 75% dispersed retention with strip cutting in machine corridors (Study also reports on low-retention harvesting.)","BeetsComp, BeetsAbunt, BeetsRich, DeadAbunt, DeadAbuns",,Saproxylic beetles,Dead wood,Girdled trees compared with naturally dead trees,http://scholar.google.co.uk/scholar?q=Variable+retention+harvest+of+white+spruce+stands+and+saproxylic+beetle+assemblages&btnG=&hl=en&as_sdt=0%2C5
Jacobs et al. (2007b),"J. M. Jacobs, J. R. Spence and D. W. Langor",2007,Influence of boreal forest succession and dead wood qualities on saproxylic beetles,Agricultural and Forest Entomology,9,3-16,English,,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.77 N,118.37 N,56.77,-118.37,677-880,Coniferous; mixed; broadleaf,"Picea glauca, Populus tremuloides, Populus balsamifera",Early- to late-successional,,,CI,3 in each of 4 stand types,CREA,Girdling of trees,"BeetsAbuns, BeetsAbunt, BeetsComp",,Saproxylic beetles,,Girdled trees compared with naturally dead trees. Included based on extended inclusion criteria for deadwood studies.,http://scholar.google.co.uk/scholar?q=Influence+of+boreal+forest+succession+and+dead+wood+qualities+on+saproxylic+beetles&btnG=&hl=en&as_sdt=0%2C5
